,timestamp,ip_address,bytes_transferred,failed_logins,status
0,1775073142.4274204,10.0.0.4 (Attacker Endpoint),270389.4253638801,25,BLOCKED
1,1775073142.1798184,192.168.1.41,341.9784660619904,0,BLOCKED
2,1775073142.0245523,10.0.0.2 (Attacker Endpoint),428427.8042480541,33,BLOCKED
3,1775073134.2236624,192.168.1.64,324.4569834422983,0,BLOCKED
4,1775073133.9404893,10.0.0.3 (Attacker Endpoint),415082.5742142951,21,BLOCKED
5,1775073132.50983,192.168.1.57,4739.8962092194815,0,BLOCKED
6,1775073131.8256238,192.168.1.16,448.69721562148607,0,BLOCKED
7,1775073131.731167,192.168.1.79,4913.869978441113,0,BLOCKED
8,1775073123.6411254,10.0.0.3 (Attacker Endpoint),437910.903021726,16,BLOCKED
9,1775073119.5739944,10.0.0.2 (Attacker Endpoint),398988.0842311099,29,BLOCKED
10,1775073118.0411172,192.168.1.15,4805.706589788252,0,BLOCKED
11,1775073117.6683888,192.168.1.76,4833.031626501059,0,BLOCKED
12,1775073117.5431502,10.0.0.6 (Attacker Endpoint),394924.8606658097,39,BLOCKED
13,1775073116.6390784,10.0.0.2 (Attacker Endpoint),127900.55160687947,34,BLOCKED
14,1775073116.2341294,192.168.1.56,4528.58795108372,0,BLOCKED
15,1775073115.8007686,192.168.1.52,4944.089750704904,0,BLOCKED
16,1775073114.8010774,192.168.1.66,103.12011751184725,0,BLOCKED
17,1775073105.5631435,10.0.0.5 (Attacker Endpoint),421820.0118123276,27,BLOCKED
18,1775073103.719779,192.168.1.96,174.49494918230744,0,BLOCKED
19,1775073103.6257064,10.0.0.4 (Attacker Endpoint),295456.6633036407,47,BLOCKED
20,1775073103.1894898,192.168.1.54,503.0397357335049,0,BLOCKED
21,1775073098.253906,192.168.1.28,165.64996445332923,0,BLOCKED
22,1775073090.383325,192.168.1.19,4927.61682659388,0,BLOCKED
23,1775073082.6598268,192.168.1.53,226.04854040604852,0,BLOCKED
24,1775073082.3172498,192.168.1.10,4987.024458434239,0,BLOCKED
25,1775073081.9426107,192.168.1.83,1241.5481889735247,0,BLOCKED
26,1775073080.85138,192.168.1.73,4988.179332272844,0,BLOCKED
27,1775073080.043973,10.0.0.10 (Attacker Endpoint),261165.02991275443,29,BLOCKED
28,1775073079.791434,10.0.0.4 (Attacker Endpoint),466870.28031362686,29,BLOCKED
29,1775073078.914249,10.0.0.9 (Attacker Endpoint),59536.46010586053,36,BLOCKED
30,1775073074.3860724,192.168.1.15,4929.53963365922,0,BLOCKED
31,1775073074.2006385,192.168.1.61,896.3359332943236,0,BLOCKED
32,1775073066.345426,10.0.0.1 (Attacker Endpoint),211561.5136653831,15,BLOCKED
33,1775073066.185868,192.168.1.49,4941.550207673117,0,BLOCKED
34,1775073066.0002618,10.0.0.1 (Attacker Endpoint),179683.71809568038,44,BLOCKED
35,1775073062.3005261,10.0.0.1 (Attacker Endpoint),227504.86803013162,39,BLOCKED
36,1775073060.801556,10.0.0.5 (Attacker Endpoint),150443.69722114922,45,BLOCKED
37,1775073060.522295,10.0.0.10 (Attacker Endpoint),151776.45928795805,44,BLOCKED
38,1775073060.3678591,192.168.1.49,1201.8539111206262,0,BLOCKED
39,1775073056.3211868,10.0.0.3 (Attacker Endpoint),495164.88769985,43,BLOCKED
40,1775073044.7630198,192.168.1.71,4825.753709937422,0,BLOCKED
41,1775073044.4827852,192.168.1.78,133.34380307949579,0,BLOCKED
42,1775073044.264999,192.168.1.69,4557.977689372045,0,BLOCKED
43,1775073041.4887402,10.0.0.4 (Attacker Endpoint),341662.8361241015,22,BLOCKED
44,1775073041.0504363,10.0.0.5 (Attacker Endpoint),484106.059531946,12,BLOCKED
45,1775073031.7945528,10.0.0.2 (Attacker Endpoint),497242.12013696064,42,BLOCKED
46,1775073027.5275183,192.168.1.98,679.7383729805159,0,BLOCKED
47,1775073026.9052086,10.0.0.8 (Attacker Endpoint),288846.9179169146,33,BLOCKED
48,1775073015.5839126,192.168.1.96,108.01008728798705,0,BLOCKED
49,1775073010.8899744,192.168.1.69,4667.520076045885,0,BLOCKED
